Quantity_2,CIMELEC::QUANTITY_2,4,0,0,電極のﾎﾙﾀﾞ番号2
Quantity_3,CIMELEC::QUANTITY_3,4,0,0,電極のﾎﾙﾀﾞ番号3
Quantity_4,CIMELEC::QUANTITY_4,4,0,0,電極のﾎﾙﾀﾞ番号4
Spark_gap_1,CIMELEC::SPARK_GAP_1,4,1,0,電極の放電ｷﾞｬｯﾌﾟ1
Spark_gap_2,CIMELEC::SPARK_GAP_2,4,1,0,電極の放電ｷﾞｬｯﾌﾟ2
Spark_gap_3,CIMELEC::SPARK_GAP_3,4,1,0,電極の放電ｷﾞｬｯﾌﾟ3
Spark_gap_4,CIMELEC::SPARK_GAP_4,4,1,0,電極の放電ｷﾞｬｯﾌﾟ4
Orbit_type_1,CIMELEC::ORBIT_TYPE_1,4,0,0,電極の揺動ﾀｲﾌﾟ1
Orbit_type_2,CIMELEC::ORBIT_TYPE_2,4,0,0,電極の揺動ﾀｲﾌﾟ2
Orbit_type_3,CIMELEC::ORBIT_TYPE_3,4,0,0,電極の揺動ﾀｲﾌﾟ3
Orbit_type_4,CIMELEC::ORBIT_TYPE_4,4,0,0,電極の揺動ﾀｲﾌﾟ4
Orbit_value_1,CIMELEC::ORBIT_VALUE_1,4,1,0,電極の揺動値1
Orbit_value_2,CIMELEC::ORBIT_VALUE_2,4,1,0,電極の揺動値2
Orbit_value_3,CIMELEC::ORBIT_VALUE_3,4,1,0,電極の揺動値3
Orbit_value_4,CIMELEC::ORBIT_VALUE_4,4,1,0,電極の揺動値4
Offset_1,CIMELEC::OFFSET_1,4,1,0,電極のｵﾌｾｯﾄ1（荒）
Offset_2,CIMELEC::OFFSET_2,4,1,0,電極のｵﾌｾｯﾄ2（中仕げ）
Offset_3,CIMELEC::OFFSET_3,4,1,0,電極のｵﾌｾｯﾄ3（仕上げ）
Offset_4,CIMELEC::OFFSET_4,4,1,0,電極のｵﾌｾｯﾄ4（磨き）
Elec_Material,CIMELEC::MATERIAL,4,0,0,電極の材質
Part_Revision,TMPL::Revision,3,0,0,ﾊﾟｰﾂのﾊﾞｰｼﾞｮﾝ
Dwg_Revision,TMPL::Revision,2,0,0,図面のﾊﾞｰｼﾞｮﾝ
Part_Designed_by,TMPL::Designed_by,3,0,0,ﾊﾟｰﾂの設計者
Dwg_Designed_by,TMPL::Designed_by,2,0,0,図面の設計者
Part_Approved_by,TMPL::Approved_by,3,0,0,ﾊﾟｰﾂの承認者
Dwg_Approved_by,TMPL::Approved_by,2,0,0,図面の承認者
Part_Comment,TMPL::Comment,3,0,0,ﾊﾟｰﾂの備考
Dwg_Comment,TMPL::Comment,2,0,0,図面の備考
Part_Type,TMPL::Part_Type,3,0,0,ﾊﾟｰﾂのﾀｲﾌﾟ
Part_Short_Type,TMPL::Short_Type,3,0,0,ﾊﾟｰﾂの短い名前
Part_Standard_Number,TMPL::Standard_Number,3,0,0,ﾊﾟｰﾂ番号
Part_Stock_Size,TMPL::Stock_Size,3,0,0,ｽﾄｯｸｻｲｽﾞ
Part_Vendor,TMPL::Vendor,3,0,0,ﾒｰｶｰ（この項目はプロパティ欄に作成しなければ存在しません）
Part_Material,TMPL::Material,3,0,0,ﾊﾟｰﾂの材質
Part_Heat_Treatment,TMPL::Heat_Treatment,3,0,0,ﾊﾟｰﾂの熱処理
Part_Hardness,TMPL::Hardness,3,0,0,ﾊﾟｰﾂの硬度
Part_Path,Path,3,0,0,ﾊﾟｰﾂのﾌｫﾙﾀﾞﾊﾟｽ
Dwg_Path,Path,2,0,0,図面のﾌｫﾙﾀﾞﾊﾟｽ
Dwg_Drawn_by,TMPL::Drawn_by,2,0,0,図面の作図者
Dwg_Creation_Date,Cim_E_CREATION_DATE,2,0,0,図面の作成日付
Part_Creation_Date,Cim_E_CREATION_DATE,3,0,0,ﾊﾟｰﾂの作成日付
Dwg_Modification_Date,Cim_E_MODIFICATION_DATE,2,0,0,図面の修正日付
Part_Modification_Date,Cim_E_MODIFICATION_DATE,3,0,0,ﾊﾟｰﾂの修正日付
Part_Catalog,DMCATALOG::Catalog,3,0,0,ﾊﾟｰﾂｶﾀﾛｸﾞ
Part_Category,DMCATALOG::Category,3,0,0,ﾊﾟｰﾂの区分
Part_Sub-Category,DMCATALOG::SubCategory,3,0,0,ﾊﾟｰﾂの下位区分
Part_Visible_Part_Size,TMPL::Visible_Part_Size,3,0,0,可視パーツサイズ
Part_Visible_Part_Size-Manual,TMPL::Visible_Part_Size-Manual,3,0,0,可視パーツサイズ-手動
Elec_Comment,CIMELEC::EL_NOTE,4,0,0,電極コメント
MATERIAL_1,CIMELEC::MATERIAL_1,4,0,0,材質１
MATERIAL_2,CIMELEC::MATERIAL_2,4,0,0,材質２
MATERIAL_3,CIMELEC::MATERIAL_3,4,0,0,材質３
MATERIAL_4,CIMELEC::MATERIAL_4,4,0,0,材質４
Version,Version,1,0,0,バージョン
Units,Units,1,0,0,単位
